name,artist,id,acousticness,energy,tempo,valence
アンビシャス,MY FIRST STORY,7svD5Sa5WNmvEpflWbUkhR,0.00452,0.961,100.007,0.38
LET IT DIE,MY FIRST STORY,08rRFDUovbSP4WK3E75gmO,0.00131,0.977,95.009,0.23
メリーゴーランド,MY FIRST STORY,5e17FZpKCvOEn5296aNvLg,0.000859,0.929,144.94,0.315
REVIVER,MY FIRST STORY,1p6WtbNY4bDjiFBmSZolJY,0.000401,0.993,99.999,0.26
この世界で一番の幸せ者にはする事など出来ないかもしれないけど…,MY FIRST STORY,5HyCbK2c0ztuCugA04SATV,0.000805,0.983,100.034,0.174
君のいない夜を越えて,MY FIRST STORY,0LjM63phUQIxcyXxbBv0jc,0.00508,0.952,184.986,0.449
One Step,MY FIRST STORY,5jGlXtLHEhMrQXIDnjz98Y,0.000141,0.958,139.998,0.555
CHiLD -error-,MY FIRST STORY,3iG4Q54IU4KNgJwMXvvWH9,0.003,0.934,130.054,0.08
WINNER,MY FIRST STORY,2EfbpJoz5APBuEmH1oUA3H,0.000136,0.987,170.013,0.319
二十億光年の恋,MY FIRST STORY,62wjXTsTFCNL0Fe2XJ1GtQ,0.136,0.637,169.785,0.511
終焉レクイエム,MY FIRST STORY,5ipiQRKf6ZQM5NLuGY60Ng,0.00281,0.985,100.027,0.195
ハルジオン,MY FIRST STORY,71I3KFTKzYz1qi3SBctusp,0.0146,0.913,172.859,0.559
Home,MY FIRST STORY,1YhaeT8EygMA6OaUVwrow4,0.00018,0.969,175.051,0.487
最終回STORY,MY FIRST STORY,5rBnunsAR3wS0XM5d493O3,0.00091,0.943,107.557,0.202
夢幻,MY FIRST STORY,2otdcgLtoowuQzlU0Cx827,0.00479,0.929,135.008,0.404
I'm a mess,MY FIRST STORY,6c5GqVWU3yFDgPkgBB0MGg,0.0148,0.939,130.039,0.676
マボロシサスペンス,MY FIRST STORY,19FY4Eu9kSlpPNimWyPyKC,9.38e-05,0.966,130.014,0.393
Love Affair,MY FIRST STORY,4JXy5UcHZMrtEJiUYXNfQD,0.000258,0.932,145.023,0.434
The Reason,MY FIRST STORY,4NhiepZSWF6DYV0hFLWe54,0.000292,0.92,135.022,0.598
あいことば,MY FIRST STORY,1PmOyrbXWh03R4idV6ei62,0.0111,0.718,153.002,0.304
Black Rail,MY FIRST STORY,4CuPkKUne5SsEsDyDqtlKj,0.0021,0.957,102.006,0.481
蜃気楼,MY FIRST STORY,2K2fKGu0wJuByM2dTBTUsr,0.000373,0.912,131.966,0.585
無告,MY FIRST STORY,7CwuKD8R0v5qaCkxxiXRZ0,0.00114,0.978,97.431,0.3
虚言NEUROSE,MY FIRST STORY,74rZug4HF6ypkKzE4oEnYj,0.00266,0.97,93.43,0.462
ALONE,MY FIRST STORY,72iaBWeNjV5WwHBvgZPL65,3.48e-05,0.967,200.08,0.49
Missing You,MY FIRST STORY,4MzdrjWuEShth6tyABlzYo,0.000368,0.966,95.01,0.482
ハイエナ,MY FIRST STORY,4OrME1BlRzdB1adWiajfMJ,0.128,0.927,170.082,0.712
Smash Out!!,MY FIRST STORY,0FAsxRVa5m7ZkTffBfPOeP,2.26e-05,0.987,194.902,0.318
Boyfriend,MY FIRST STORY,3S8zX1e2oC1KxvEwcoBPpH,0.00199,0.752,114.981,0.328
MONSTER,MY FIRST STORY,1Y44rWSMNJtaEDYHLgXf97,6.42e-05,0.983,122.994,0.258
With You,MY FIRST STORY,6jGB8Elznkw3445mTX9EWz,0.000449,0.968,139.987,0.197
猿真似ドロップアウト,MY FIRST STORY,79Tcowk3Uk5HKioOP0O1rM,0.0013,0.977,109.983,0.421
東京ミッドナイト,MY FIRST STORY,6yOsud5tOWwu4Hj43cW7Vc,0.00155,0.894,132.945,0.54
失踪FLAME,MY FIRST STORY,6lpl7KYkM4DgYJGosrLF3L,0.00477,0.962,105.017,0.165
moonlight,MY FIRST STORY,68byopkpDw9u4C5DlsxzdW,0.0335,0.94,120.042,0.6
大迷惑,MY FIRST STORY,2tTeAEY8GjHnVN9k3tsdtC,0.00374,0.967,129.839,0.859
Fake,MY FIRST STORY,0vc907WNkLfxVW02cU3u8f,0.000109,0.961,96.024,0.408
i don't wanna be,MY FIRST STORY,5cEBCMlHGGoShjfmmtfjJg,2.92e-05,0.987,183.18,0.195
Take it Back!!,MY FIRST STORY,1fvV6APEMhM92GPeoK9uNu,0.00103,0.931,96.52,0.619
Nothing In The Story,MY FIRST STORY,1xj5HLvWgeVb04VMlKa1So,7.33e-05,0.977,195.14,0.325
M.A.D,MY FIRST STORY,3J58Z69Way85kIyUiSeVND,0.00516,0.976,170.137,0.248
